GrLivArea,OverallQual,GarageCars,TotalBsmtSF,FullBath,SalePrice
1656,6,2.0,1080.0,1,215000
896,5,1.0,882.0,1,105000
1329,6,1.0,1329.0,1,172000
2110,7,2.0,2110.0,2,244000
1629,5,2.0,928.0,2,189900
1604,6,2.0,926.0,2,195500
1338,8,2.0,1338.0,2,213500
1280,8,2.0,1280.0,2,191500
1616,8,2.0,1595.0,2,236500
1804,7,2.0,994.0,2,189000
1655,6,2.0,763.0,2,175900
1187,6,2.0,1168.0,2,185000
1465,6,2.0,789.0,2,180400
1341,7,2.0,1300.0,1,171500
1502,8,2.0,1488.0,1,212000
3279,8,3.0,1650.0,3,538000
1752,8,2.0,559.0,2,164000
1856,9,3.0,1856.0,1,394432
864,4,2.0,864.0,1,141000
2073,6,2.0,1542.0,2,210000
1844,6,2.0,1844.0,2,190000
1173,7,2.0,1053.0,2,170000
1674,7,2.0,814.0,2,216000
1004,6,2.0,1004.0,1,149000
1078,5,2.0,1078.0,1,149900
1056,5,1.0,1056.0,1,142000
882,4,2.0,882.0,1,126000
864,4,0.0,864.0,1,115000
1337,7,2.0,1405.0,2,184000
987,6,1.0,483.0,1,96000
1092,5,1.0,525.0,1,105500
1092,6,1.0,525.0,1,88000
1069,6,2.0,1069.0,2,127500
1456,6,2.0,855.0,2,149900
836,7,1.0,836.0,1,120000
1456,6,2.0,855.0,2,146000
2334,9,3.0,1590.0,2,376162
1704,8,3.0,1704.0,2,306000
1940,9,3.0,1930.0,2,395192
1544,8,3.0,1544.0,2,290941
1541,7,2.0,1541.0,2,220000
1698,9,3.0,1698.0,2,275000
1822,8,3.0,1822.0,2,259000
1535,7,2.0,1517.0,2,214000
2364,9,3.0,2330.0,2,611657
1358,7,2.0,1358.0,2,224000
2696,9,3.0,2846.0,2,500000
2250,8,3.0,1671.0,2,320000
1752,9,2.0,1752.0,2,319900
1370,8,2.0,1370.0,2,205000
1626,7,2.0,764.0,2,175500
1324,6,2.0,1324.0,2,199500
1145,7,2.0,1145.0,2,160000
1269,8,2.0,1256.0,2,192000
1374,7,2.0,384.0,2,184500
1960,6,2.0,860.0,2,216500
1733,7,2.0,847.0,2,185088
1430,7,2.0,384.0,2,180000
2035,7,2.0,884.0,2,222500
2599,9,3.0,1393.0,2,333168
2475,8,3.0,1629.0,2,355000
1720,7,2.0,1720.0,2,260400
2622,8,2.0,1463.0,2,325000
2270,8,3.0,1152.0,2,290000
1839,7,2.0,1195.0,2,221000
3238,8,3.0,2033.0,2,410000
1595,8,3.0,1595.0,2,221500
1218,7,2.0,1218.0,2,204500
1547,7,2.0,756.0,2,215200
1566,8,2.0,1566.0,2,262500
1947,7,2.0,991.0,2,254900
1468,6,2.0,1468.0,2,271500
2084,7,2.0,956.0,2,233000
1659,7,2.0,831.0,2,181000
2110,7,2.0,948.0,2,205000
923,6,1.0,923.0,2,143000
1845,6,2.0,1055.0,2,189000
918,6,1.0,918.0,2,99500
752,6,1.0,744.0,1,125000
1744,7,2.0,996.0,2,194500
1097,6,2.0,1040.0,2,152000
1564,6,2.0,650.0,2,171000
1012,5,1.0,816.0,1,67500
1902,6,2.0,0.0,2,112000
1155,5,2.0,1109.0,1,148000
894,5,1.0,894.0,1,138500
900,5,1.0,882.0,1,122000
1040,5,1.0,1040.0,1,133000
1040,5,1.0,1040.0,1,127000
1494,6,2.0,1208.0,2,169000
1923,7,2.0,750.0,2,190000
2349,8,3.0,1231.0,2,362500
2225,8,3.0,1390.0,2,285000
1488,7,2.0,1488.0,2,260000
1680,7,2.0,840.0,2,190000
1200,7,2.0,600.0,2,155000
1200,7,2.0,600.0,2,151000
1200,7,2.0,600.0,2,149500
1236,6,2.0,600.0,2,152000
1478,7,2.0,1470.0,2,222000
1573,6,2.0,756.0,2,177500
1512,6,2.0,756.0,2,177000
1416,7,2.0,696.0,2,155000
1080,7,2.0,530.0,2,147110
1418,8,3.0,1642.0,1,267916
1848,8,2.0,975.0,2,254000
788,8,2.0,728.0,1,155000
1226,8,2.0,1226.0,1,206000
1479,6,2.0,725.0,2,130500
1492,7,2.0,1492.0,2,230000
1829,6,2.0,1829.0,2,218500
2495,6,2.0,1280.0,2,243500
1610,6,2.0,1610.0,2,205000
1891,6,2.0,1224.0,3,212500
1714,7,2.0,980.0,2,196500
1381,6,2.0,1161.0,1,197500
1645,6,2.0,715.0,1,171000
1232,5,2.0,1232.0,1,142250
1328,6,2.0,1328.0,1,143000
1225,4,0.0,950.0,1,128950
1209,5,2.0,1209.0,1,159000
1510,5,2.0,1510.0,2,178900
1775,6,2.0,533.0,2,136300
1152,5,2.0,1152.0,1,180500
1054,6,2.0,936.0,1,137500
1728,5,0.0,1728.0,2,84900
1078,5,1.0,1078.0,1,142125
2461,5,2.0,1140.0,2,197600
1556,6,2.0,782.0,2,172500
858,5,0.0,858.0,1,116500
1306,3,0.0,728.0,1,76500
1063,5,1.0,1056.0,1,128000
1520,6,1.0,1156.0,1,153000
1268,5,1.0,1268.0,1,132000
1128,6,1.0,1080.0,1,178000
2274,5,2.0,1105.0,2,154300
2207,7,2.0,1947.0,2,180000
1888,6,2.0,1517.0,2,190000
1604,5,2.0,1604.0,2,135000
1480,7,2.0,1480.0,2,214000
1143,5,1.0,1143.0,1,136000
1700,5,2.0,1398.0,1,165500
1314,5,1.0,1314.0,1,145000
1194,6,1.0,1194.0,1,148000
1188,5,2.0,1188.0,1,142000
1264,5,2.0,1268.0,1,167500
1206,5,1.0,1206.0,1,108538
1580,6,2.0,1244.0,1,159500
1337,4,1.0,832.0,1,108000
1064,5,1.0,864.0,1,135000
972,5,1.0,972.0,1,122500
988,5,1.0,988.0,1,119000
1057,5,1.0,1057.0,1,109000
985,4,2.0,576.0,1,105000
827,5,1.0,0.0,1,107500
1086,5,2.0,1086.0,1,144900
936,5,1.0,936.0,1,129000
1458,6,1.0,912.0,1,97500
1056,6,2.0,1056.0,0,144000
1287,5,2.0,1063.0,1,162000
2978,7,2.0,710.0,2,242000
1224,6,1.0,816.0,1,132000
1246,5,1.0,1246.0,1,154000
1385,5,2.0,910.0,2,166000
900,5,2.0,900.0,1,134800
1116,6,2.0,1116.0,1,160000
1175,5,2.0,1175.0,1,148000
1395,6,2.0,1395.0,1,192000
1839,6,2.0,756.0,1,155000
1844,4,1.0,709.0,1,80400
1140,4,0.0,576.0,1,96500
936,5,0.0,936.0,1,109500
1028,5,2.0,1008.0,1,115000
1347,5,2.0,1347.0,1,143000
1605,3,1.0,840.0,2,107400
747,4,1.0,747.0,1,80000
804,5,1.0,788.0,1,119000
1316,5,2.0,926.0,1,130000
1251,6,1.0,827.0,1,119000
1633,5,1.0,1027.0,1,129000
1245,5,1.0,1008.0,1,100000
832,2,2.0,678.0,1,12789
720,6,2.0,624.0,1,105900
1566,8,1.0,930.0,2,150000
1652,5,1.0,686.0,2,139000
2268,8,2.0,346.0,3,240000
2256,5,0.0,840.0,2,76500
1236,6,2.0,912.0,1,149700
1363,4,2.0,622.0,1,125500
2290,4,2.0,777.0,2,122500
1470,6,2.0,738.0,1,140750
1612,5,1.0,988.0,1,128500
2068,7,1.0,1108.0,1,209500
765,4,1.0,765.0,1,87000
1132,6,1.0,608.0,1,134000
1196,6,2.0,572.0,1,128000
1453,5,1.0,835.0,1,132000
1416,6,1.0,780.0,1,139900
1040,5,2.0,528.0,1,123900
1536,5,2.0,928.0,2,138400
1068,6,1.0,1124.0,1,109500
1710,7,2.0,576.0,2,140000
1962,4,2.0,888.0,1,149500
1560,6,0.0,780.0,1,159900
1324,6,1.0,662.0,1,122000
816,5,2.0,816.0,1,110000
1092,4,0.0,0.0,2,55000
1812,5,2.0,360.0,2,140000
2403,7,1.0,1032.0,2,244400
1675,5,1.0,1422.0,2,173000
1224,5,1.0,689.0,1,107500
1392,5,0.0,1212.0,1,100000
919,6,1.0,600.0,1,95000
1884,4,0.0,707.0,1,93369
1680,5,2.0,856.0,2,114900
1020,5,0.0,780.0,1,94000
1832,4,0.0,1832.0,2,136000
1768,4,0.0,1768.0,2,136500
1039,5,2.0,1039.0,1,131500
1392,5,2.0,1392.0,1,121500
912,5,1.0,912.0,1,125000
1060,5,1.0,1060.0,1,154000
892,5,1.0,864.0,1,137900
1352,6,1.0,663.0,1,158000
864,5,1.0,864.0,1,137250
1373,5,2.0,1319.0,1,160250
1440,5,2.0,720.0,1,163000
1386,6,2.0,672.0,2,158900
2260,7,2.0,1306.0,2,328000
1483,7,2.0,1420.0,1,270000
756,4,2.0,660.0,1,85000
1067,4,2.0,1067.0,2,128000
1524,7,2.0,1332.0,0,260000
1981,6,2.0,1117.0,2,230000
1610,3,1.0,972.0,2,124000
835,5,1.0,458.0,1,83000
1074,6,1.0,663.0,1,144500
1144,5,1.0,1144.0,1,129000
1531,4,1.0,756.0,1,127000
1172,5,1.0,1172.0,1,128000
1212,6,2.0,1212.0,2,186000
1508,7,2.0,1508.0,1,308030
1298,5,2.0,1250.0,2,114000
930,4,1.0,0.0,1,84900
1732,6,2.0,741.0,2,178000
1433,7,2.0,1433.0,1,270000
1802,6,4.0,946.0,2,218000
1949,7,2.0,1050.0,2,236000
996,6,2.0,936.0,1,147000
1694,8,3.0,1694.0,2,245350
1208,7,2.0,1187.0,2,206000
1226,7,3.0,1226.0,2,198900
1222,7,2.0,1222.0,2,187000
3222,7,3.0,1673.0,3,320000
1445,6,2.0,676.0,2,138500
1052,6,2.0,1010.0,1,155000
965,5,2.0,870.0,1,159000
1692,7,2.0,878.0,2,191000
1682,6,2.0,804.0,2,200500
1026,5,1.0,1026.0,1,150000
1392,6,1.0,689.0,1,161750
894,5,1.0,894.0,1,128200
876,5,2.0,876.0,1,127000
1978,8,3.0,1978.0,2,318000
1601,8,2.0,1581.0,2,272000
1829,7,2.0,941.0,2,237000
2098,7,2.0,1040.0,2,240000
1661,7,2.0,1649.0,2,224900
848,6,2.0,848.0,1,143750
848,6,2.0,848.0,1,143000
1668,8,2.0,1657.0,2,232000
1484,7,2.0,1473.0,2,213000
1414,7,2.0,1414.0,2,185500
640,3,1.0,0.0,1,84900
992,5,1.0,381.0,1,155891
1664,5,0.0,0.0,2,100000
1196,5,1.0,1196.0,1,144000
1120,4,2.0,744.0,1,64000
1096,6,1.0,1008.0,1,125200
1117,6,2.0,1029.0,1,107000
960,4,0.0,960.0,1,90000
1121,4,2.0,1121.0,2,140000
1487,6,1.0,735.0,1,113000
924,4,1.0,672.0,1,80000
1526,5,1.0,1216.0,1,144500
1296,5,1.0,1107.0,2,104000
1647,6,1.0,806.0,1,128000
864,3,1.0,864.0,1,58500
1691,5,1.0,1026.0,2,127000
856,6,2.0,856.0,1,126000
2650,4,0.0,0.0,3,160000
1666,5,0.0,894.0,1,100000
2447,6,1.0,804.0,2,169000
2133,7,1.0,1528.0,1,257500
2177,5,2.0,1032.0,2,215000
2340,7,1.0,1152.0,2,266500
1902,7,2.0,1902.0,2,335000
1652,7,2.0,423.0,2,203135
1034,8,2.0,982.0,1,185000
1191,8,2.0,1191.0,2,162500
1801,7,2.0,1501.0,2,289000
1154,4,1.0,796.0,1,125500
540,2,1.0,480.0,1,82000
1107,6,1.0,629.0,1,110000
1128,4,2.0,698.0,1,68400
1178,4,1.0,859.0,1,102776
1044,5,2.0,540.0,1,55993
952,4,1.0,756.0,1,50138
1646,8,2.0,1594.0,2,246000
1916,8,3.0,1049.0,2,254900
1285,6,2.0,1243.0,2,190000
1560,7,2.0,1560.0,2,201000
1034,6,3.0,1012.0,1,169900
2048,6,2.0,1958.0,3,170000
1687,5,2.0,747.0,1,160000
1346,7,3.0,1336.0,2,220000
1214,7,2.0,1214.0,2,179781
1444,5,2.0,384.0,2,174000
1968,8,3.0,774.0,2,269500
1894,7,2.0,817.0,2,214900
1908,8,2.0,967.0,2,202900
2018,9,3.0,2002.0,2,378500
1264,5,2.0,1068.0,1,169000
1430,5,2.0,1430.0,2,173500
1824,6,0.0,912.0,2,139000
1344,5,2.0,1344.0,2,166500
1092,4,1.0,546.0,1,83500
945,5,1.0,945.0,1,119500
1112,5,1.0,536.0,1,85000
1092,4,0.0,546.0,1,76000
630,4,0.0,630.0,1,75500
1092,4,0.0,546.0,1,88250
1092,4,1.0,546.0,1,85500
874,5,1.0,864.0,1,130000
1188,5,1.0,1188.0,1,157900
833,5,2.0,833.0,1,149900
2432,5,2.0,1216.0,4,159000
1274,5,2.0,624.0,1,136000
1479,5,1.0,864.0,2,161000
1803,8,2.0,1679.0,2,285000
1797,6,2.0,1152.0,2,231000
882,6,1.0,882.0,1,124500
1434,6,2.0,1434.0,2,157000
2704,8,2.0,1952.0,2,345000
1608,6,2.0,945.0,2,189500
2283,8,3.0,1008.0,2,270000
1628,7,2.0,384.0,2,189000
1746,9,3.0,1746.0,2,377500
1474,7,2.0,384.0,2,168500
2522,8,2.0,2208.0,2,375000
1659,8,2.0,1501.0,2,278000
1478,8,2.0,1418.0,2,240000
1734,8,2.0,1587.0,2,239500
1382,7,2.0,384.0,2,177500
1718,7,2.0,832.0,2,185000
1636,6,2.0,952.0,2,191000
1571,6,2.0,799.0,2,178000
1470,6,2.0,680.0,2,185000
1516,6,2.0,707.0,2,181316
1190,6,2.0,1181.0,2,166000
1593,6,2.0,808.0,2,178000
1481,6,2.0,702.0,2,174000
1167,6,2.0,1158.0,2,173000
1983,7,2.0,978.0,2,225000
1442,7,2.0,1424.0,2,180500
1360,8,2.0,1220.0,1,187500
2234,9,3.0,2216.0,2,501837
2046,8,3.0,2046.0,2,372500
1530,7,2.0,1530.0,2,260000
1934,5,2.0,1122.0,2,185000
2353,7,2.0,845.0,2,260000
1586,6,2.0,1362.0,2,181000
1411,7,2.0,1386.0,2,82500
1602,6,2.0,1602.0,2,215000
2050,7,2.0,832.0,2,154000
1671,6,2.0,1427.0,2,200000
2673,7,2.0,1043.0,2,249000
1472,7,2.0,1372.0,2,187500
1707,6,2.0,1140.0,2,184000
2524,8,2.0,2524.0,2,278000
1601,7,2.0,1271.0,2,157000
1370,7,2.0,1090.0,2,152000
1868,5,2.0,780.0,2,197500
1884,7,2.0,926.0,2,240900
1935,8,2.0,832.0,2,263435
1874,8,2.0,1058.0,2,220000
1811,8,2.0,972.0,2,235000
1621,5,2.0,1621.0,2,213000
1116,6,2.0,1116.0,2,167900
1193,7,2.0,1176.0,2,158000
1350,6,2.0,1064.0,2,165000
2119,6,2.0,689.0,2,158000
1792,5,0.0,896.0,2,136000
1002,5,2.0,1002.0,1,148500
1026,6,2.0,1026.0,1,156000
1180,5,2.0,1180.0,1,128000
1050,5,1.0,1043.0,1,143000
864,4,2.0,864.0,1,76500
864,4,2.0,864.0,1,120500
864,4,2.0,864.0,1,124500
864,4,2.0,864.0,1,97000
864,4,2.0,864.0,1,130000
987,6,1.0,483.0,1,111000
1365,5,2.0,765.0,1,125000
1302,5,1.0,630.0,2,112000
987,6,1.0,483.0,1,97000
987,6,1.0,483.0,1,118000
1302,5,1.0,630.0,2,119500
958,6,2.0,958.0,2,143750
1548,6,2.0,804.0,2,146000
1456,6,2.0,855.0,2,148500
1055,7,2.0,1057.0,2,123000
1322,6,2.0,855.0,2,147000
1456,6,2.0,855.0,2,137900
1548,6,2.0,804.0,2,147000
1441,6,2.0,855.0,2,148500
1456,6,2.0,855.0,2,138000
836,7,1.0,836.0,1,128500
892,5,1.0,892.0,1,100000
1120,5,2.0,864.0,1,148800
1718,10,3.0,1700.0,2,337500
2772,9,3.0,1776.0,3,462000
3140,9,3.0,1926.0,3,485000
2402,10,3.0,3094.0,2,555000
1652,9,2.0,1652.0,2,325000
1600,8,3.0,1566.0,2,256300
2042,8,3.0,2042.0,2,253293
2690,9,3.0,1365.0,2,398800
2184,9,3.0,1104.0,2,335000
2020,9,3.0,2020.0,2,404000
2020,10,3.0,2006.0,2,402861
2296,10,3.0,1722.0,2,451950
2674,10,3.0,2630.0,2,610000
2822,9,3.0,1734.0,3,582933
1736,9,3.0,1736.0,2,360000
1782,8,3.0,1782.0,2,296000
2520,8,3.0,1508.0,2,409900
1717,8,3.0,1709.0,2,255500
1743,9,3.0,1739.0,2,335000
1713,8,3.0,1713.0,2,274900
1531,9,3.0,1504.0,2,300000
1808,9,3.0,1774.0,2,324000
2224,9,3.0,1462.0,2,350000
1836,8,3.0,1836.0,2,280000
1629,8,3.0,3206.0,2,284000
1760,7,2.0,1760.0,2,269500
1502,7,2.0,1502.0,2,233170
2392,10,3.0,2392.0,2,386250
2452,9,3.0,2452.0,2,445000
2400,8,3.0,1082.0,3,290000
1606,8,3.0,1598.0,2,255900
1358,6,2.0,1358.0,2,213000
1306,6,2.0,1306.0,2,196000
1306,6,2.0,1306.0,2,184500
1358,7,2.0,1350.0,2,212500
1314,7,2.0,1314.0,2,230000
2492,10,3.0,2492.0,2,552000
2200,8,3.0,2200.0,2,382500
1884,9,2.0,1884.0,2,320000
1456,9,2.0,1451.0,2,248500
1712,8,3.0,1712.0,2,286500
1324,8,2.0,1324.0,2,254000
1405,7,2.0,1405.0,2,173000
1626,7,2.0,764.0,2,173000
1456,7,2.0,728.0,2,184000
1490,6,2.0,745.0,2,167800
1484,6,2.0,742.0,2,174000
1560,6,2.0,684.0,2,174000
1555,7,3.0,1373.0,2,174000
1569,7,3.0,1386.0,2,175900
1555,7,2.0,1373.0,2,192500
1504,7,2.0,1346.0,2,181000
1220,7,2.0,1220.0,2,180000
1145,7,2.0,1145.0,2,160200
1432,7,2.0,716.0,2,188500
2267,6,2.0,1010.0,2,200000
1374,7,2.0,384.0,2,170000
1630,7,2.0,868.0,2,189500
1419,8,2.0,408.0,2,184100
1594,7,2.0,846.0,2,195500
1489,7,2.0,782.0,2,192000
1342,7,2.0,698.0,2,178000
1314,7,2.0,1314.0,2,207500
2256,7,2.0,952.0,2,236000
2004,8,3.0,870.0,2,257500
2054,6,2.0,992.0,2,244000
1374,7,2.0,384.0,2,167000
1800,6,2.0,982.0,2,179000
1514,6,2.0,794.0,2,190000
1430,7,2.0,384.0,2,156000
2312,7,3.0,1177.0,2,245000
1675,6,2.0,841.0,2,181000
2060,7,2.0,992.0,2,214000
1430,7,2.0,384.0,2,168000
2365,8,3.0,1252.0,2,337000
2794,8,3.0,1462.0,2,403000
2687,8,3.0,1455.0,2,327000
2450,8,3.0,1284.0,2,340000
2612,8,3.0,1225.0,2,336000
2344,7,3.0,1264.0,2,265000
2063,8,3.0,2024.0,2,315000
2646,7,3.0,1347.0,2,260000
2061,7,2.0,1070.0,2,260000
2232,8,2.0,1173.0,2,263550
2448,8,3.0,1629.0,2,402000
1850,7,2.0,973.0,2,248000
1468,8,3.0,1468.0,2,244600
1696,8,3.0,1696.0,2,275000
1658,8,3.0,1614.0,2,257500
1578,8,3.0,1573.0,2,287090
1702,8,3.0,1702.0,2,275500
1432,8,2.0,1422.0,2,245000
1971,7,2.0,1113.0,2,253000
2490,9,3.0,2458.0,2,468000
1852,7,2.0,900.0,2,252678
1590,8,2.0,768.0,2,210000
1218,6,2.0,1218.0,2,208300
1436,7,2.0,1436.0,2,225000
1314,8,2.0,1300.0,2,229456
1402,7,2.0,1402.0,2,229800
1530,9,3.0,1530.0,2,250000
1766,9,3.0,1766.0,2,370878
1448,8,2.0,1372.0,2,238500
2007,10,3.0,1017.0,2,310000
1795,8,3.0,900.0,2,270000
1953,8,3.0,1082.0,2,252000
1550,7,2.0,1092.0,2,241000
1836,8,2.0,1836.0,2,264500
1662,7,3.0,1652.0,2,291000
2094,7,2.0,912.0,2,263000
1221,7,2.0,1221.0,2,185000
1553,7,2.0,1553.0,2,234500
1653,7,2.0,812.0,2,209000
1218,7,2.0,1218.0,1,159000
1141,7,2.0,1141.0,1,152000
1158,6,0.0,1158.0,1,143500
1812,7,2.0,835.0,2,193000
1512,8,3.0,1512.0,2,203000
1200,7,2.0,1176.0,2,184900
1114,7,2.0,1114.0,1,159000
1114,5,0.0,1114.0,1,142000
1114,5,2.0,1114.0,2,153000
1450,7,3.0,1450.0,2,224243
2122,7,2.0,913.0,2,220000
1844,8,2.0,1844.0,2,257000
1434,7,2.0,1454.0,2,189000
1730,6,2.0,816.0,2,171500
1217,6,1.0,626.0,1,120000
1332,6,2.0,1332.0,2,145000
1540,7,2.0,754.0,2,184000
1400,6,2.0,676.0,2,162000
1882,6,2.0,0.0,2,160000
841,4,1.0,721.0,1,82000
784,6,2.0,784.0,1,76000
980,5,2.0,980.0,1,110000
980,5,2.0,980.0,1,135000
864,5,2.0,864.0,1,141000
864,5,1.0,864.0,1,122000
1020,5,1.0,1024.0,2,124100
912,5,1.0,912.0,1,129000
1144,5,1.0,864.0,1,131400
864,5,1.0,864.0,1,62383
912,5,1.0,912.0,1,123000
2014,8,3.0,2014.0,2,275000
1755,7,2.0,975.0,2,235000
3005,7,3.0,1376.0,2,280750
1224,6,2.0,612.0,2,164500
1224,6,2.0,612.0,2,173733
1726,6,2.0,1726.0,2,222000
1256,6,2.0,1145.0,1,195000
1471,6,2.0,729.0,2,172500
1512,6,2.0,756.0,2,180000
1452,7,2.0,691.0,2,156000
1739,8,2.0,970.0,2,172500
1694,8,2.0,1694.0,2,318750
1226,8,2.0,1226.0,1,211500
1740,7,2.0,1740.0,1,241600
2499,8,2.0,392.0,2,180500
1620,4,2.0,1281.0,2,150000
1556,6,2.0,727.0,1,154000
1442,6,2.0,1442.0,2,185000
